STNAME,CTYNAME,Majority_White,Percent_White
Arkansas,Chicot County,False,0.4334820257150354
Arkansas,Clark County,True,0.7360045343564702
Arkansas,Clay County,True,0.9784493751593981
Arkansas,Cleburne County,True,0.9717141971481711
Arkansas,Cleveland County,True,0.8651906804219311
Arkansas,Columbia County,True,0.6129612225718138
Arkansas,Conway County,True,0.8539953962512331
Arkansas,Craighead County,True,0.8297588609816012
Arkansas,Crawford County,True,0.9174926548929713
Arkansas,Crittenden County,False,0.4661042362207873
Arkansas,Cross County,True,0.7499858621274671
Arkansas,Dallas County,True,0.5572805809440341
Arkansas,Desha County,False,0.49645277002789956
Arkansas,Drew County,True,0.6958864642799979
Arkansas,Faulkner County,True,0.8531389001213101
Arkansas,Franklin County,True,0.9539484621778886
Arkansas,Fulton County,True,0.9692320181847702
Arkansas,Garland County,True,0.8797354055086014
Arkansas,Grant County,True,0.9540197931724674
Arkansas,Greene County,True,0.9710400111206358
Arkansas,Hempstead County,True,0.6743396057748179
Arkansas,Hot Spring County,True,0.8598251182847219
Arkansas,Howard County,True,0.7568256279577721
Arkansas,Independence County,True,0.9466306549628629
Arkansas,Izard County,True,0.9593290782247291
Arkansas,Jackson County,True,0.8032954545454546
Arkansas,Jefferson County,False,0.41966998113030796
Arkansas,Johnson County,True,0.941816918265704
Arkansas,Lafayette County,True,0.6070901033973413
Arkansas,Lawrence County,True,0.9743710322125558
Arkansas,Lee County,False,0.427858261550509
Arkansas,Lincoln County,True,0.6798808595135096
Arkansas,Little River County,True,0.7588048610573573
Arkansas,Logan County,True,0.938406950825638
Arkansas,Lonoke County,True,0.9068285628373831
Arkansas,Madison County,True,0.959028443592202
Arkansas,Marion County,True,0.9689159826170932
Arkansas,Miller County,True,0.7254434615208324
Arkansas,Mississippi County,True,0.6332031078530355
Arkansas,Monroe County,True,0.5651507409299948
Arkansas,Montgomery County,True,0.9554603854389722
Arkansas,Nevada County,True,0.6652100840336135
Arkansas,Newton County,True,0.959312391788276
Arkansas,Ouachita County,True,0.5722554733028823
Arkansas,Perry County,True,0.9540574523648322
Arkansas,Phillips County,False,0.35854503464203236
Arkansas,Pike County,True,0.9359829287810083
Arkansas,Poinsett County,True,0.9043896819846134
Arkansas,Polk County,True,0.9488544770651165
Arkansas,Pope County,True,0.9272843145064925
Arkansas,Prairie County,True,0.8615511941357294
Arkansas,Pulaski County,True,0.5969127375286989
Arkansas,Randolph County,True,0.9706636921360847
Arkansas,St. Francis County,False,0.44996051403546555
Arkansas,Saline County,True,0.9151146676203675
Arkansas,Scott County,True,0.9113533151680291
Arkansas,Searcy County,True,0.9586611714749594
Arkansas,Sebastian County,True,0.8336580154590586
Arkansas,Sevier County,True,0.8946265354834954
Arkansas,Sharp County,True,0.961827137328486
Arkansas,Stone County,True,0.9700702835031193
Arkansas,Union County,True,0.6449457997895612
Arkansas,Van Buren County,True,0.9640046975924839
Arkansas,Washington County,True,0.8817895000733169
Arkansas,White County,True,0.9259551807167518
Arkansas,Woodruff County,True,0.7030985915492958
Arkansas,Yell County,True,0.9425952945467809
California,Alameda County,True,0.5232517752392714
California,Alpine County,True,0.7316209034543845
California,Amador County,True,0.9091940056703118
California,Butte County,True,0.8703523984490316
California,Calaveras County,True,0.9217066738187832
California,Colusa County,True,0.9179393769557704
California,Contra Costa County,True,0.6825380211319594
California,Del Norte County,True,0.7909508660303994
California,El Dorado County,True,0.9038995131839102
California,Fresno County,True,0.774709224122925
California,Glenn County,True,0.9019362675050014
California,Humboldt County,True,0.8445489404941147
California,Imperial County,True,0.894703528720302
California,Inyo County,True,0.8184374155177074
California,Kern County,True,0.8295209529082249
California,Kings County,True,0.8139716180862028
California,Lake County,True,0.8809840113780223
California,Lassen County,True,0.8145760294729336
California,Los Angeles County,True,0.7159048535505469
California,Madera County,True,0.8635181121812138
California,Marin County,True,0.8626542064834087
California,Mariposa County,True,0.9056688075956437
California,Mendocino County,True,0.8686576382852176
California,Merced County,True,0.8185356741198223
California,Modoc County,True,0.8893534898681248
California,Mono County,True,0.9225676052411486
California,Monterey County,True,0.8241947502354943
California,Napa County,True,0.8563774317666942
California,Nevada County,True,0.9395271232653726
California,Orange County,True,0.7445338904616372
California,Placer County,True,0.8668968873209062
California,Plumas County,True,0.9129852054229599
California,Riverside County,True,0.8083536415778856
California,Sacramento County,True,0.6530641236145122
California,San Benito County,True,0.8871738977568385
California,San Bernardino County,True,0.7761379475360025
California,San Diego County,True,0.7670386139651622
California,San Francisco County,True,0.5429120810594493
California,San Joaquin County,True,0.684101609423124
California,San Luis Obispo County,True,0.8918283576658272
California,San Mateo County,True,0.6379777928368441
California,Santa Barbara County,True,0.8614814179279257
California,Santa Clara County,True,0.5762463646337641
California,Santa Cruz County,True,0.8800191921312261
California,Shasta County,True,0.8890562530097544
California,Sierra County,True,0.9478289047310434
California,Siskiyou County,True,0.8768401503827513
California,Solano County,True,0.6060980565979889
California,Sonoma County,True,0.8768637066948065
California,Stanislaus County,True,0.8444739192603014
California,Sutter County,True,0.7473532445117973
California,Tehama County,True,0.9126896508216888
California,Trinity County,True,0.8883631524471388
California,Tulare County,True,0.8839188719779989
California,Tuolumne County,True,0.9107354466005037
California,Ventura County,True,0.8518327569645722
California,Yolo County,True,0.7618632359713499
California,Yuba County,True,0.7965060472259551
Colorado,Adams County,True,0.8742792614415207
Colorado,Alamosa County,True,0.8872306167946495
Colorado,Arapahoe County,True,0.7910606401520621
Colorado,Archuleta County,True,0.935956917978459
Colorado,Baca County,True,0.9570781125033324
Colorado,Bent County,True,0.874415381950459
Colorado,Boulder County,True,0.9124519353591992
Colorado,Broomfield County,True,0.8898933068029778
Colorado,Chaffee County,True,0.9478787878787879
Colorado,Cheyenne County,True,0.9690501600853789
Colorado,Clear Creek County,True,0.9575670285840904
Colorado,Conejos County,True,0.9323262839879154
Colorado,Costilla County,True,0.8951029493600445
Colorado,Crowley County,True,0.8482758620689655
Colorado,Custer County,True,0.9628147799482231
Colorado,Delta County,True,0.9539629337539433
Colorado,Denver County,True,0.8060936674733747
Colorado,Dolores County,True,0.9378134403209629
Colorado,Douglas County,True,0.9189175594788994
Colorado,Eagle County,True,0.9536183830049736
Colorado,Elbert County,True,0.9595860240345551
Colorado,El Paso County,True,0.8407508015951278
Colorado,Fremont County,True,0.9189535778404719
Colorado,Garfield County,True,0.9438659947676155
Colorado,Gilpin County,True,0.9479147696230195
Colorado,Grand County,True,0.9601268052131032
Colorado,Gunnison County,True,0.9477867528271405
Colorado,Hinsdale County,True,0.9604938271604938
Colorado,Huerfano County,True,0.9016070345664039
Colorado,Jackson County,True,0.9658753709198813
Colorado,Jefferson County,True,0.9238885282695037
Colorado,Kiowa County,True,0.9702216066481995
Colorado,Kit Carson County,True,0.9476155176674079
Colorado,Lake County,True,0.9426274189152357
Colorado,La Plata County,True,0.8966813610427282
Colorado,Larimer County,True,0.9354465726423329
Colorado,Las Animas County,True,0.9175644028103045
Colorado,Lincoln County,True,0.9103245919677242
Colorado,Logan County,True,0.9219654456276788
Colorado,Mesa County,True,0.9439694821708782
Colorado,Mineral County,True,0.9788434414668548
Colorado,Moffat County,True,0.9591666666666666
Colorado,Montezuma County,True,0.8415319885179505
Colorado,Montrose County,True,0.9468631062001228
Colorado,Morgan County,True,0.928280415847148
Colorado,Otero County,True,0.9207936677719543
Colorado,Ouray County,True,0.9713024282560706
Colorado,Park County,True,0.953147420300705
Colorado,Phillips County,True,0.9686283489809938
Colorado,Pitkin County,True,0.9614783062040202
Colorado,Prowers County,True,0.9573008313826782
Colorado,Pueblo County,True,0.9108621590033074
Colorado,Rio Blanco County,True,0.9359778328715181
Colorado,Rio Grande County,True,0.9397973708448464
Colorado,Routt County,True,0.9669152309934002
Colorado,Saguache County,True,0.9321065989847716
Colorado,San Juan County,True,0.9608695652173913
Colorado,San Miguel County,True,0.9584432717678101
Colorado,Sedgwick County,True,0.9597146454049518
Colorado,Summit County,True,0.9605263157894737
Colorado,Teller County,True,0.9512591389114541
Colorado,Washington County,True,0.9718841796055392
Colorado,Weld County,True,0.9339681672867106
Colorado,Yuma County,True,0.9746022334222749
Connecticut,Fairfield County,True,0.8055973485680018
Connecticut,Hartford County,True,0.7775447223154073
Connecticut,Litchfield County,True,0.9479070015464193
Connecticut,Middlesex County,True,0.8998502433545489
Connecticut,New Haven County,True,0.7958827694993006
Connecticut,New London County,True,0.8456395666921983
Connecticut,Tolland County,True,0.9080500729185226
Connecticut,Windham County,True,0.9307136965450387
Delaware,Kent County,True,0.6884254232636942
Delaware,New Castle County,True,0.67993282986251
